duration_ms_x,popularity,track_number,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,popularity_class
231424,46,2,0.691,0.496,0.259,0.00194,5,0.0876,-14.202,1,0.0625,135.45600000000002,0.181,0
146102,77,1,0.301,0.487,0.909,2.9E-05,10,0.0803,-4.091,1,0.102,187.783,0.293,1
172080,57,1,0.84,0.643,0.335,0.0161,0,0.112,-7.1320000000000014,1,0.0261,73.53399999999998,0.263,1
272230,57,1,0.361,0.792,0.723,0.0919,1,0.103,-9.673,0,0.0469,115.425,0.19,1
207106,60,1,0.000147,0.449,0.89,0.0198,9,0.101,-3.823,0,0.0468,136.069,0.276,1
190763,54,1,0.214,0.631,0.605,5.42E-06,7,0.107,-6.119,1,0.029,115.05,0.397,0
241097,36,6,0.6920000000000001,0.5429999999999999,0.498,0.433,9,0.078,-10.152,1,0.0678,113.394,0.815,0
206611,64,1,0.625,0.732,0.555,0,5,0.112,-7.973,1,0.0326,114.981,0.7290000000000001,1
188386,68,7,0.598,0.7440000000000001,0.619,0.00372,0,0.231,-9.805,1,0.039,112.997,0.6409999999999999,1
162663,58,1,0.389,0.8220000000000001,0.544,0.165,5,0.108,-10.077,1,0.0358,121.968,0.826,1
212266,63,13,0.953,0.413,0.21,0.00524,10,0.121,-13.94,1,0.0365,111.518,0.278,1
268120,55,8,0.321,0.69,0.721,0.649,4,0.125,-8.437000000000001,1,0.0322,104.028,0.35600000000000004,0
208576,54,1,0.197,0.414,0.713,0.00655,8,0.322,-7.822999999999999,1,0.0848,102.908,0.29,0
271093,45,1,0.204,0.5329999999999999,0.51,0.000485,9,0.336,-10.146,1,0.0302,142.046,0.0671,0
171106,60,2,0.491,0.912,0.448,0.000292,9,0.0781,-5.501,1,0.0446,108.964,0.7440000000000001,1
130714,58,1,0.117,0.8170000000000001,0.5770000000000001,0.000385,6,0.183,-8.63,0,0.0659,112.025,0.928,1
277245,51,4,0.00175,0.644,0.48,0.00334,10,0.7240000000000001,-8.918,0,0.0272,97.5,0.695,0
183930,46,1,0.0959,0.778,0.602,0.0864,8,0.111,-7.292000000000002,0,0.0396,115.961,0.6659999999999999,0
190466,60,1,0.603,0.64,0.6,0.468,6,0.109,-7.27,1,0.0345,90.519,0.161,1
156614,51,1,0.329,0.5529999999999999,0.596,0.469,6,0.118,-5.4270000000000005,1,0.026,98.95,0.414,0
220720,60,1,0.163,0.764,0.706,0.00047,8,0.116,-3.97,1,0.0598,129.491,0.826,1
265455,59,9,0.301,0.252,0.534,0.845,2,0.138,-6.968,1,0.0319,121.424,0.192,1
254703,55,8,0.0243,0.451,0.611,0.892,1,0.139,-9.937,1,0.0357,176.17700000000005,0.29100000000000004,0
144857,57,1,0.619,0.926,0.6809999999999999,6.26E-05,8,0.677,-7.0470000000000015,0,0.114,139.958,0.565,1
219800,66,1,0.5920000000000001,0.748,0.441,0,10,0.17600000000000002,-7.653,0,0.0622,124.107,0.44,1
292853,38,5,0.375,0.486,0.5,0.918,6,0.103,-9.405,1,0.0241,95.917,0.369,0
242875,43,1,0.0408,0.628,0.716,0.0244,4,0.547,-4.981,0,0.0267,100.012,0.631,0
208490,50,4,0.0212,0.667,0.795,0.00596,0,0.0513,-6.159,1,0.0376,100.081,0.725,0
